조사일,조사지역명,조사지역코드,조사시장명,조사시장코드,품목명,품목코드,유통단계,유통단계 구분,유통단계,품목명,상품코드,조사가격,전날조사가격,규격,등급,
20220101,제주,3900,동문시장,143,국산,1,소비자가격,0,1,녹두,7,7610,0,500G,상(1등급),15220
20220101,제주,3900,동문시장,232,무세척,1,소비자가격,1,1,당근,7,3160,0,1KG,상(1등급),3160
20220101,제주,3904,C-유통,232,무세척,1,소비자가격,1,1,당근,7,2980,0,1KG,상(1등급),2980
20220101,제주,3900,동문시장,151,고구마(일반),1,소비자가격,0,1,고구마(밤),7,5000,0,1KG,상(1등급),5000
20220101,제주,3904,C-유통,151,고구마(일반),1,소비자가격,0,1,고구마(밤),7,5990,0,1KG,상(1등급),5990
20220101,제주,3900,동문시장,226,일반,1,소비자가격,0,1,딸기,7,3000,0,100G,상(1등급),30000
20220101,제주,3904,C-유통,226,일반,1,소비자가격,0,1,딸기,7,2580,0,100G,상(1등급),25800
20220101,제주,3900,동문시장,241,화건,1,소비자가격,0,1,건고추,7,18300,0,600G,상(1등급),30500
20220101,제주,3900,동문시장,231,월동,1,소비자가격,6,1,무,7,1660,0,1개,상(1등급),1660
20220101,제주,3904,C-유통,231,월동,1,소비자가격,6,1,무,7,1480,0,1개,상(1등급),1480
20220101,제주,3900,동문시장,214,적,1,소비자가격,1,1,상추,7,660,0,100G,상(1등급),6600
20220101,제주,3904,C-유통,214,적,1,소비자가격,1,1,상추,7,890,0,100G,상(1등급),8900
20220101,제주,3900,동문시장,252,일반,1,소비자가격,0,1,미나리,7,1330,0,1KG,상(1등급),1330
20220101,제주,3900,동문시장,224,애호박,1,소비자가격,1,1,호박,7,2000,0,1개,상(1등급),2000
20220101,제주,3904,C-유통,224,애호박,1,소비자가격,1,1,호박,7,2180,0,1개,상(1등급),2180
20220101,제주,3900,동문시장,214,청,1,소비자가격,2,1,상추,7,600,0,100G,상(1등급),6000
20220101,제주,3904,C-유통,214,청,1,소비자가격,2,1,상추,7,1280,0,100G,상(1등급),12800
20220101,제주,3900,동문시장,416,일반,1,소비자가격,0,1,단감,7,15600,0,10개,상(1등급),7800
20220101,제주,3904,C-유통,416,일반,1,소비자가격,0,1,단감,7,13960,0,10개,상(1등급),6980
20220101,제주,3904,C-유통,535,일반,1,소비자가격,0,1,우유,7,2710,0,1L,상(1등급),2710
20220101,제주,3900,동문시장,111,일반계,1,소비자가격,1,1,쌀,7,60000,0,20KG,상(1등급),3000
20220101,제주,3904,C-유통,111,일반계,1,소비자가격,1,1,쌀,7,53900,0,20KG,상(1등급),2695
20220101,제주,3904,C-유통,152,수미,1,소비자가격,1,2,감자,7,350,0,100G,중(2등급),3500
20220101,제주,3900,동문시장,211,가을,1,소비자가격,3,1,배추,7,7550,0,1포기,상(1등급),3775
20220101,제주,3900,동문시장,215,일반,1,소비자가격,0,1,얼갈이배추,7,2000,0,1KG(단),상(1등급),2000
20220101,제주,3904,C-유통,215,일반,1,소비자가격,0,1,얼갈이배추,7,2600,0,1KG(단),상(1등급),2600
20220101,제주,3900,동문시장,253,일반,1,소비자가격,0,1,깻잎,7,1430,0,100G,상(1등급),14300
20220101,제주,3904,C-유통,253,일반,1,소비자가격,0,1,깻잎,7,4600,0,100G,상(1등급),46000
20220101,제주,3900,동문시장,242,꽈리고추,1,소비자가격,2,1,풋고추,7,730,0,100G,상(1등급),7300
20220101,제주,3904,C-유통,242,꽈리고추,1,소비자가격,2,1,풋고추,7,1650,0,100G,상(1등급),16500
20220101,제주,3904,C-유통,419,수입,1,소비자가격,2,1,참다래,7,6650,0,10개,상(1등급),6650
20220101,제주,3900,동문시장,224,쥬키니,1,소비자가격,2,1,호박,7,2000,0,1개,상(1등급),2000
20220101,제주,3904,C-유통,224,쥬키니,1,소비자가격,2,1,호박,7,1780,0,1개,상(1등급),1780
20220101,제주,3900,동문시장,412,신고,1,소비자가격,1,1,배,7,36600,0,10개,상(1등급),7320
20220101,제주,3900,동문시장,418,수입,1,소비자가격,2,1,바나나,7,300,0,100G,상(1등급),3000
20220101,제주,3904,C-유통,418,수입,1,소비자가격,2,1,바나나,7,280,0,100G,상(1등급),2800
20220101,제주,3900,동문시장,243,일반,1,소비자가격,0,1,붉은고추,7,1000,0,100G,상(1등급),10000
20220101,제주,3904,C-유통,243,일반,1,소비자가격,0,1,붉은고추,7,1720,0,100G,상(1등급),17200
20220101,제주,3900,동문시장,245,양파(일반),1,소비자가격,0,1,양파,7,2000,0,1KG,상(1등급),2000
20220101,제주,3904,C-유통,245,양파(일반),1,소비자가격,0,1,양파,7,2210,0,1KG,상(1등급),2210
20220101,제주,3900,동문시장,314,수입,1,소비자가격,2,2,땅콩,7,670,0,100G,중(2등급),6700
20220101,제주,3900,동문시장,315,일반,1,소비자가격,0,1,느타리버섯,7,1400,0,100G,상(1등급),14000
20220101,제주,3904,C-유통,315,일반,1,소비자가격,0,1,느타리버섯,7,1490,0,100G,상(1등급),14900
20220101,제주,3900,동문시장,221,일반,1,소비자가격,0,1,수박,7,24300,0,1개,상(1등급),4860
20220101,제주,3904,C-유통,221,일반,1,소비자가격,0,1,수박,7,19900,0,1개,상(1등급),3980
20220101,제주,3900,동문시장,223,가시계통,1,소비자가격,1,1,오이,7,11600,0,10개,상(1등급),5800
20220101,제주,3904,C-유통,223,가시계통,1,소비자가격,1,1,오이,7,17800,0,10개,상(1등급),8900
20220101,제주,3904,C-유통,211,가을,1,소비자가격,3,2,배추,7,2980,0,1포기,중(2등급),1490
20220101,제주,3900,동문시장,212,일반,1,소비자가격,0,1,양배추,7,3000,0,1포기,상(1등급),1000
20220101,제주,3900,동문시장,318,일반,1,소비자가격,0,2,호두,7,1530,0,100G,중(2등급),15300
20220101,제주,3904,C-유통,318,일반,1,소비자가격,0,2,호두,7,1660,0,100G,중(2등급),16600
20220101,제주,3900,동문시장,241,양건,1,소비자가격,2,1,건고추,7,18000,0,600G,상(1등급),30000
20220101,제주,3900,동문시장,242,일반고추,1,소비자가격,0,1,풋고추,7,700,0,100G,상(1등급),7000
20220101,제주,3900,동문시장,255,청피망,1,소비자가격,0,1,피망,7,800,0,100G,상(1등급),8000
20220101,제주,3904,C-유통,255,청피망,1,소비자가격,0,1,피망,7,1390,0,100G,상(1등급),13900
20220101,제주,3900,동문시장,257,일반,1,소비자가격,0,1,멜론,7,10000,0,1개,상(1등급),10000
20220101,제주,3904,C-유통,257,일반,1,소비자가격,0,1,멜론,7,19800,0,1개,상(1등급),19800
20220101,제주,3900,동문시장,420,수입산,1,소비자가격,2,1,파인애플,7,6660,0,1개,상(1등급),6660
20220101,제주,3904,C-유통,420,수입산,1,소비자가격,2,2,파인애플,7,5980,0,1개,중(2등급),5980
20220101,제주,3900,동문시장,424,수입,1,소비자가격,0,1,레몬,7,10000,0,10개,상(1등급),10000
20220101,제주,3904,C-유통,424,수입,1,소비자가격,0,1,레몬,7,9800,0,10개,상(1등급),9800
20220101,제주,3900,동문시장,246,대파,1,소비자가격,0,1,파,7,3000,0,1KG,상(1등급),3000
20220101,제주,3904,C-유통,246,대파,1,소비자가격,0,1,파,7,3100,0,1KG,상(1등급),3100
20220101,제주,3900,동문시장,316,일반,1,소비자가격,0,1,팽이버섯,7,500,0,100G,상(1등급),5000
20220101,제주,3904,C-유통,316,일반,1,소비자가격,0,1,팽이버섯,7,470,0,100G,상(1등급),4700
20220101,제주,3900,동문시장,141,백태(국산),1,소비자가격,1,1,콩,7,4510,0,500G,상(1등급),9020
20220101,제주,3900,동문시장,141,백태(국산),1,소비자가격,1,2,콩,7,3630,0,500G,중(2등급),7260
