조사일,조사지역명,조사지역코드,조사시장명,조사시장코드,품목명,품목코드,유통단계,유통단계 구분,유통단계,품목명,상품코드,조사가격,전날조사가격,규격,등급,
20220101,전북전주,3500,전주남부시장,143,국산,1,소비자가격,0,1,녹두,7,8830,0,500G,상(1등급),17660
20220101,전북전주,3500,전주남부시장,143,국산,1,소비자가격,0,1,녹두,7,8830,0,500G,상(1등급),17660
20220101,전북전주,3500,전주남부시장,232,무세척,1,소비자가격,1,1,당근,7,3000,0,1KG,상(1등급),3000
20220101,전북전주,3500,전주남부시장,232,무세척,1,소비자가격,1,1,당근,7,3000,0,1KG,상(1등급),3000
20220101,전주,3504,C-유통,232,무세척,1,소비자가격,1,1,당근,7,2980,0,1KG,상(1등급),2980
20220101,전북전주,3500,전주남부시장,151,고구마(일반),1,소비자가격,0,1,고구마(밤),7,5000,0,1KG,상(1등급),5000
20220101,전북전주,3500,전주남부시장,151,고구마(일반),1,소비자가격,0,1,고구마(밤),7,5000,0,1KG,상(1등급),5000
20220101,전주,3504,C-유통,151,고구마(일반),1,소비자가격,0,1,고구마(밤),7,5980,0,1KG,상(1등급),5980
20220101,전북전주,3500,전주남부시장,226,일반,1,소비자가격,0,1,딸기,7,2530,0,100G,상(1등급),25300
20220101,전북전주,3500,전주남부시장,226,일반,1,소비자가격,0,1,딸기,7,2530,0,100G,상(1등급),25300
20220101,전주,3504,C-유통,226,일반,1,소비자가격,0,1,딸기,7,2250,0,100G,상(1등급),22500
20220101,전북전주,3500,전주남부시장,226,일반,1,소비자가격,0,2,딸기,7,2160,0,100G,중(2등급),21600
20220101,전북전주,3500,전주남부시장,226,일반,1,소비자가격,0,2,딸기,7,2160,0,100G,중(2등급),21600
20220101,전주,3504,C-유통,214,적,1,소비자가격,1,1,상추,7,940,0,100G,상(1등급),9400
20220101,전북전주,3500,전주남부시장,241,화건,1,소비자가격,0,1,건고추,7,10600,0,600G,상(1등급),17666.6666666667
20220101,전북전주,3500,전주남부시장,241,화건,1,소비자가격,0,1,건고추,7,10600,0,600G,상(1등급),17666.6666666667
20220101,전북전주,3500,전주남부시장,231,월동,1,소비자가격,6,1,무,7,1830,0,1개,상(1등급),1830
20220101,전북전주,3500,전주남부시장,231,월동,1,소비자가격,6,1,무,7,1830,0,1개,상(1등급),1830
20220101,전주,3504,C-유통,231,월동,1,소비자가격,6,1,무,7,1680,0,1개,상(1등급),1680
20220101,전북전주,3500,전주남부시장,252,일반,1,소비자가격,0,1,미나리,7,710,0,1KG,상(1등급),710
20220101,전북전주,3500,전주남부시장,252,일반,1,소비자가격,0,1,미나리,7,710,0,1KG,상(1등급),710
20220101,전북전주,3500,전주남부시장,152,수미,1,소비자가격,1,1,감자,7,280,0,100G,상(1등급),2800
20220101,전북전주,3500,전주남부시장,152,수미,1,소비자가격,1,1,감자,7,280,0,100G,상(1등급),2800
20220101,전북전주,3500,전주남부시장,224,애호박,1,소비자가격,1,1,호박,7,1930,0,1개,상(1등급),1930
20220101,전북전주,3500,전주남부시장,224,애호박,1,소비자가격,1,1,호박,7,1930,0,1개,상(1등급),1930
20220101,전주,3504,C-유통,224,애호박,1,소비자가격,1,1,호박,7,2380,0,1개,상(1등급),2380
20220101,전북전주,3500,전주남부시장,231,월동,1,소비자가격,6,2,무,7,1330,0,1개,중(2등급),1330
20220101,전북전주,3500,전주남부시장,231,월동,1,소비자가격,6,2,무,7,1330,0,1개,중(2등급),1330
20220101,전북전주,3500,전주남부시장,214,청,1,소비자가격,2,1,상추,7,700,0,100G,상(1등급),7000
20220101,전북전주,3500,전주남부시장,214,청,1,소비자가격,2,1,상추,7,700,0,100G,상(1등급),7000
20220101,전북전주,3500,전주남부시장,411,후지,1,소비자가격,5,2,사과,7,17800,0,10개,중(2등급),8900
20220101,전북전주,3500,전주남부시장,411,후지,1,소비자가격,5,2,사과,7,17800,0,10개,중(2등급),8900
20220101,전주,3504,C-유통,411,후지,1,소비자가격,5,2,사과,7,17450,0,10개,중(2등급),8725
20220101,전주,3504,C-유통,535,일반,1,소비자가격,0,1,우유,7,2710,0,1L,상(1등급),2710
20220101,전북전주,3500,전주남부시장,111,일반계,1,소비자가격,1,1,쌀,7,59300,0,20KG,상(1등급),2965
20220101,전북전주,3500,전주남부시장,111,일반계,1,소비자가격,1,1,쌀,7,59300,0,20KG,상(1등급),2965
20220101,전주,3504,C-유통,111,일반계,1,소비자가격,1,1,쌀,7,53900,0,20KG,상(1등급),2695
20220101,전주,3504,C-유통,152,수미,1,소비자가격,1,2,감자,7,250,0,100G,중(2등급),2500
20220101,전북전주,3500,전주남부시장,211,가을,1,소비자가격,3,1,배추,7,3000,0,1포기,상(1등급),1500
20220101,전북전주,3500,전주남부시장,211,가을,1,소비자가격,3,1,배추,7,3000,0,1포기,상(1등급),1500
20220101,전주,3504,C-유통,215,일반,1,소비자가격,0,1,얼갈이배추,7,2650,0,1KG(단),상(1등급),2650
20220101,전북전주,3500,전주남부시장,253,일반,1,소비자가격,0,1,깻잎,7,1940,0,100G,상(1등급),19400
20220101,전북전주,3500,전주남부시장,253,일반,1,소비자가격,0,1,깻잎,7,1940,0,100G,상(1등급),19400
20220101,전주,3504,C-유통,253,일반,1,소비자가격,0,1,깻잎,7,2300,0,100G,상(1등급),23000
20220101,전북전주,3500,전주남부시장,242,꽈리고추,1,소비자가격,2,1,풋고추,7,1000,0,100G,상(1등급),10000
20220101,전북전주,3500,전주남부시장,242,꽈리고추,1,소비자가격,2,1,풋고추,7,1000,0,100G,상(1등급),10000
20220101,전주,3504,C-유통,242,꽈리고추,1,소비자가격,2,1,풋고추,7,1650,0,100G,상(1등급),16500
20220101,전북전주,3500,전주남부시장,256,일반,1,소비자가격,0,2,파프리카,7,1000,0,200G,중(2등급),5000
20220101,전북전주,3500,전주남부시장,256,일반,1,소비자가격,0,2,파프리카,7,1000,0,200G,중(2등급),5000
20220101,전주,3504,C-유통,419,수입,1,소비자가격,2,1,참다래,7,7250,0,10개,상(1등급),7250
20220101,전주,3504,C-유통,221,일반,1,소비자가격,0,1,수박,7,19900,0,1개,상(1등급),3980
20220101,전주,3504,C-유통,211,가을,1,소비자가격,3,2,배추,7,3280,0,1포기,중(2등급),1640
20220101,전북전주,3500,전주남부시장,412,신고,1,소비자가격,1,1,배,7,30000,0,10개,상(1등급),6000
20220101,전북전주,3500,전주남부시장,412,신고,1,소비자가격,1,1,배,7,30000,0,10개,상(1등급),6000
20220101,전주,3504,C-유통,412,신고,1,소비자가격,1,1,배,7,44500,0,10개,상(1등급),8900
20220101,전북전주,3500,전주남부시장,416,일반,1,소비자가격,0,2,단감,7,10000,0,10개,중(2등급),5000
20220101,전북전주,3500,전주남부시장,416,일반,1,소비자가격,0,2,단감,7,10000,0,10개,중(2등급),5000
20220101,전주,3504,C-유통,416,일반,1,소비자가격,0,2,단감,7,11960,0,10개,중(2등급),5980
20220101,전주,3504,C-유통,418,수입,1,소비자가격,2,1,바나나,7,270,0,100G,상(1등급),2700
20220101,전북전주,3500,전주남부시장,243,일반,1,소비자가격,0,1,붉은고추,7,1000,0,100G,상(1등급),10000
20220101,전북전주,3500,전주남부시장,243,일반,1,소비자가격,0,1,붉은고추,7,1000,0,100G,상(1등급),10000
20220101,전주,3504,C-유통,243,일반,1,소비자가격,0,1,붉은고추,7,1720,0,100G,상(1등급),17200
20220101,전북전주,3500,전주남부시장,314,국산,1,소비자가격,1,1,땅콩,7,2100,0,100G,상(1등급),21000
20220101,전북전주,3500,전주남부시장,314,국산,1,소비자가격,1,1,땅콩,7,2100,0,100G,상(1등급),21000
20220101,전북전주,3500,전주남부시장,245,양파(일반),1,소비자가격,0,1,양파,7,2000,0,1KG,상(1등급),2000
20220101,전북전주,3500,전주남부시장,245,양파(일반),1,소비자가격,0,1,양파,7,2000,0,1KG,상(1등급),2000
20220101,전주,3504,C-유통,245,양파(일반),1,소비자가격,0,1,양파,7,1990,0,1KG,상(1등급),1990
20220101,전북전주,3500,전주남부시장,315,일반,1,소비자가격,0,1,느타리버섯,7,830,0,100G,상(1등급),8300
20220101,전북전주,3500,전주남부시장,315,일반,1,소비자가격,0,1,느타리버섯,7,830,0,100G,상(1등급),8300
20220101,전주,3504,C-유통,221,일반,1,소비자가격,0,2,수박,7,17900,0,1개,중(2등급),3580
20220101,전북전주,3500,전주남부시장,141,백태(국산),1,소비자가격,1,1,콩,7,3160,0,500G,상(1등급),6320
20220101,전북전주,3500,전주남부시장,141,백태(국산),1,소비자가격,1,1,콩,7,3160,0,500G,상(1등급),6320
20220101,전주,3504,C-유통,141,백태(국산),1,소비자가격,1,1,콩,7,4980,0,500G,상(1등급),9960
20220101,전북전주,3500,전주남부시장,212,일반,1,소비자가격,0,1,양배추,7,3330,0,1포기,상(1등급),1110
20220101,전북전주,3500,전주남부시장,212,일반,1,소비자가격,0,1,양배추,7,3330,0,1포기,상(1등급),1110
20220101,전북전주,3500,전주남부시장,225,일반,1,소비자가격,0,1,토마토,7,5000,0,1KG,상(1등급),5000
20220101,전북전주,3500,전주남부시장,225,일반,1,소비자가격,0,1,토마토,7,5000,0,1KG,상(1등급),5000
20220101,전주,3504,C-유통,225,일반,1,소비자가격,0,1,토마토,7,7420,0,1KG,상(1등급),7420
20220101,전북전주,3500,전주남부시장,112,일반찹쌀,1,소비자가격,1,1,찹쌀,7,3500,0,1KG,상(1등급),3500
20220101,전북전주,3500,전주남부시장,112,일반찹쌀,1,소비자가격,1,1,찹쌀,7,3500,0,1KG,상(1등급),3500
20220101,전주,3504,C-유통,112,일반찹쌀,1,소비자가격,1,1,찹쌀,7,6980,0,1KG,상(1등급),6980
20220101,전북전주,3500,전주남부시장,319,일반,1,소비자가격,0,2,아몬드,7,1360,0,100G,중(2등급),13600
20220101,전북전주,3500,전주남부시장,319,일반,1,소비자가격,0,2,아몬드,7,1360,0,100G,중(2등급),13600
20220101,전주,3504,C-유통,319,일반,1,소비자가격,0,2,아몬드,7,1710,0,100G,중(2등급),17100
20220101,전주,3504,C-유통,242,일반고추,1,소비자가격,0,1,풋고추,7,1050,0,100G,상(1등급),10500
20220101,전북전주,3500,전주남부시장,255,청피망,1,소비자가격,0,1,피망,7,800,0,100G,상(1등급),8000
20220101,전북전주,3500,전주남부시장,255,청피망,1,소비자가격,0,1,피망,7,800,0,100G,상(1등급),8000
20220101,전주,3504,C-유통,255,청피망,1,소비자가격,0,1,피망,7,1390,0,100G,상(1등급),13900
20220101,전북전주,3500,전주남부시장,242,청양고추,1,소비자가격,3,1,풋고추,7,660,0,100G,상(1등급),6600
20220101,전북전주,3500,전주남부시장,242,청양고추,1,소비자가격,3,1,풋고추,7,660,0,100G,상(1등급),6600
20220101,전주,3504,C-유통,242,청양고추,1,소비자가격,3,1,풋고추,7,1120,0,100G,상(1등급),11200
20220101,전북전주,3500,전주남부시장,257,일반,1,소비자가격,0,1,멜론,7,10000,0,1개,상(1등급),10000
20220101,전북전주,3500,전주남부시장,257,일반,1,소비자가격,0,1,멜론,7,10000,0,1개,상(1등급),10000
20220101,전주,3504,C-유통,257,일반,1,소비자가격,0,1,멜론,7,19800,0,1개,상(1등급),19800
20220101,전북전주,3500,전주남부시장,312,국산백색,1,소비자가격,1,1,참깨,7,14300,0,500G,상(1등급),28600
20220101,전북전주,3500,전주남부시장,312,국산백색,1,소비자가격,1,1,참깨,7,14300,0,500G,상(1등급),28600
20220101,전주,3504,C-유통,314,국산,1,소비자가격,1,1,땅콩,7,3330,0,100G,상(1등급),33300
